location,description,price,picture,area
"Rua Guaicuí, 73, Santo Antônio – Belo Horizonte",Apartamento em ótimo estado de acabamento em andar alto com vista definitiva na rua Guaicuí quase esquina com Avenida Prudente de Morais(cerca de 50m do Mc Donalds). Imóvel com cerca de 80m² com varanda e bom luminosidade.,2100.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/451/696424/89a3c557-6-dsc09158.jpg,80
"Rua Professor Aníbal Mattos, Santo Antônio – Belo Horizonte",***APARTAMENTO MOBILIADO NO BAIRRO SANTO ANTÔNIO***,2000.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/451/798988/08afff41-6-apartamento03quartossantoantonio-1.jpg,70
"Rua Guaicuí, 73, Santo Antônio – Belo Horizonte",Apartamento em ótimo estado de acabamento em andar alto com vista definitiva na rua Guaicuí quase esquina com Avenida Prudente de Morais(cerca de 50m do Mc Donalds). Imóvel com cerca de 80m² com varanda e bom luminosidade.,2100.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/451/696424/89a3c557-6-dsc09158.jpg,80
"Rua Engenheiro Zoroastro Torres, Santo Antônio – Belo Horizonte","Excelente apartamento de 03 quartos para locação no Santo Antônio, Belo Horizonte/MG.",1300.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/749175/d7eab378-0-img_0007.jpg,90
"Rua Copérnico Pinto Coelho, Santo Antônio – Belo Horizonte",Benefícios:,2000.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/79/61114/ed81c1ac-4-1.jpg,200
"Avenida Prudente de Morais, Santo Antônio – Belo Horizonte","Excelente apartamento de 02 quartos para locação no Santo Antônio, Belo Horizonte/MG",1890.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/807448/9d36ea5d-4-img_0007.jpg,85
"Rua Matipó, Santo Antônio – Belo Horizonte",Apartamento 02 quartos para locação no bairro Santo Antônio - BH/ MG.,1500.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/50175/dbe70f24-a5e5-440f-a5e2-5ba6aab3ef13.JPG,65
"Rua Carlos Gomes, Santo Antônio – Belo Horizonte","VENHA MORAR na mais espaçosa e linda área privativa do Bairro Santo Antônio! São aproximadamente 70m2 de áre privativa total, prédio pequeno, com elevador e sistema de segurança de primeira, 02 vagas cobertas.",3500.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/137/822328/fbe64f64-8-img_9054.png,160
"Rua Engenheiro Zoroastro Torres, 517, Santo Antônio – Belo Horizonte","Apartamento em ótimo estado de conservação localizado à poucos metros da Av. Prudente de Morais, Av. Artur de Sá, vários bancos e comercio próximos.",1200.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/316/798389/86d7cd6a-5-dsc_1278.jpg,100
"Rua Coletor Celso Werneck, Santo Antônio – Belo Horizonte","Excelente apartamento mobiliado e decorado para locação no Santo Antônio, Belo Horizonte/MG.",3600.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/817313/166a2c32-9-0geplhodm4o8gncdcmdbxe8ghjauzpvi43wywxhy.png,75
"Rua Coletor Celso Werneck, Santo Antônio – Belo Horizonte","Excelente apartamento mobiliado e decorado para locação no Santo Antônio, Belo Horizonte/MG.",3600.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/817313/166a2c32-9-0geplhodm4o8gncdcmdbxe8ghjauzpvi43wywxhy.png,75
"Rua Deputado Álvaro Sales, Santo Antônio – Belo Horizonte",PREDIO:,3500.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/312/812321/da1a2f26-2-1.jpg,300
"Rua Matipó, Santo Antônio – Belo Horizonte",Prédio:,2000.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/463/586775/49b94935-1-img_1780.jpg,130
"Rua Matipó, Santo Antônio – Belo Horizonte",Apartamento de 03 quartos para no bairro Santo Antônio– Belo Horizonte/ MG.,2375.0,https://fotosimoveis.blob.core.windows.net/fotos-imoveis/2/19/802600/77ca76e1-8-img_0753.jpg,104
